,Car,Horsepower,Acceleration,Weight,Cylinders
116,Toyota Camry,88.00,19.0,2279.,4
117,Chevrolet Vega,72.00,19.5,2401.,4
118,Datsun 610,94.00,16.5,2379.,4
119,Mazda RX3,90.00,13.5,2124.,3
120,Ford Pinto,85.00,18.5,2310.,4
121,Mercury Capri v6,107.0,14.0,2472.,6
122,Fiat 124 Sport Coupe,90.00,15.5,2265.,4
123,Chevrolet Monte Carlo S,145.0,13.0,4082.,8
124,Pontiac Grand Prix,230.0,9.50,4278.,8
125,Fiat 128,49.00,19.5,1867.,4
126,Opel Manta,75.00,15.5,2158.,4
127,Audi 100LS,91.00,14.0,2582.,4
128,Volvo 144ea,112.0,15.5,2868.,4
129,Dodge Dart Custom,150.0,11.0,3399.,8
130,Saab 99le,110.0,14.0,2660.,4
131,Toyota Mark II,122.0,13.5,2807.,6
132,Oldsmobile Omega,180.0,11.0,3664.,8
133,Plymouth Duster,95.00,16.5,3102.,6
134,Ford Maverick,0,17.0,2875.,6
135,AMC Hornet,100.0,16.0,2901.,6
136,Chevrolet Nova,100.0,17.0,3336.,6
137,Datsun B210,67.00,19.0,1950.,4
138,Ford Pinto,80.00,16.5,2451.,4
139,Toyota Corolla 1200,65.00,21.0,1836.,4
140,Chevrolet Vega,75.00,17.0,2542.,4
141,Chevrolet Chevelle Malibu Classic,100.0,17.0,3781.,6
142,AMC Matador,110.0,18.0,3632.,6
143,Plymouth Satellite Sebring,105.0,16.5,3613.,6
144,Ford Gran Torino,140.0,14.0,4141.,8
145,Buick Century Luxus (sw),150.0,14.5,4699.,8
146,Dodge Coronet Custom (sw),150.0,13.5,4457.,8
147,Ford Gran Torino (sw),140.0,16.0,4638.,8
148,AMC Matador (sw),150.0,15.5,4257.,8
149,Audi Fox,83.00,16.5,2219.,4
150,Volkswagen Dasher,67.00,15.5,1963.,4
151,Opel Manta,78.00,14.5,2300.,4
152,Toyota Corolla,52.00,16.5,1649.,4
153,Datsun 710,61.00,19.0,2003.,4
154,Dodge Colt,75.00,14.5,2125.,4
155,Fiat 128,75.00,15.5,2108.,4
156,Fiat 124 TC,75.00,14.0,2246.,4
157,Honda Civic,97.00,15.0,2489.,4
158,Subaru,93.00,15.5,2391.,4
159,Fiat x1.9,67.00,16.0,2000.,4
160,Plymouth Valiant Custom,95.00,16.0,3264.,6
161,Chevrolet Nova,105.0,16.0,3459.,6
162,Mercury Monarch,72.00,21.0,3432.,6
163,Ford Maverick,72.00,19.5,3158.,6
164,Pontiac Catalina,170.0,11.5,4668.,8
165,Chevrolet Bel Air,145.0,14.0,4440.,8
166,Plymouth Grand Fury,150.0,14.5,4498.,8
167,Ford LTD,148.0,13.5,4657.,8
168,Buick Century,110.0,21.0,3907.,6
169,Chevrolete Chevelle Malibu,105.0,18.5,3897.,6
170,AMC Matador,110.0,19.0,3730.,6
171,Plymouth Fury,95.00,19.0,3785.,6
172,Buick Skyhawk,110.0,15.0,3039.,6
173,Chevrolet Monza 2+2,110.0,13.5,3221.,8
174,Ford Mustang II,129.0,12.0,3169.,8
175,Toyota Corolla,75.00,16.0,2171.,4
176,Ford Pinto,83.00,17.0,2639.,4
177,AMC Gremlin,100.0,16.0,2914.,6
178,Pontiac Astro,78.00,18.5,2592.,4
179,Toyota Corolla,96.00,13.5,2702.,4
180,Volkswagen Dasher,71.00,16.5,2223.,4
181,Datsun 710,97.00,17.0,2545.,4
182,Ford Pinto,97.00,14.5,2984.,6
183,Volkswagen Rabbit,70.00,14.0,1937.,4
184,AMC Pacer,90.00,17.0,3211.,6
185,Audi 100LS,95.00,15.0,2694.,4
186,Peugeot 504,88.00,17.0,2957.,4
187,Volvo 244DL,98.00,14.5,2945.,4
188,Saab 99LE,115.0,13.5,2671.,4
189,Honda Civic CVCC,53.00,17.5,1795.,4
190,Fiat 131,86.00,15.5,2464.,4
191,Opel 1900,81.00,16.9,2220.,4
192,Capri ii,92.00,14.9,2572.,4
193,Dodge Colt,79.00,17.7,2255.,4
194,Renault 12tl,83.00,15.3,2202.,4
195,Chevrolet Chevelle Malibu Classic,140.0,13.0,4215.,8
196,Dodge Coronet Brougham,150.0,13.0,4190.,8
197,AMC Matador,120.0,13.9,3962.,8
198,Ford Gran Torino,152.0,12.8,4215.,8
199,Plymouth Valiant,100.0,15.4,3233.,6
200,Chevrolet Nova,105.0,14.5,3353.,6
201,Ford Maverick,81.00,17.6,3012.,6
202,AMC Hornet,90.00,17.6,3085.,6
203,Chevrolet Chevette,52.00,22.2,2035.,4
204,Chevrolet Woody,60.00,22.1,2164.,4
205,Volkswagen Rabbit,70.00,14.2,1937.,4
206,Honda Civic,53.00,17.4,1795.,4
207,Dodge Aspen SE,100.0,17.7,3651.,6
208,Ford Grenada ghia,78.00,21.0,3574.,6
209,Pontiac Ventura SJ,110.0,16.2,3645.,6
210,AMC Pacer d/l,95.00,17.8,3193.,6
211,Volkswagen Rabbit,71.00,12.2,1825.,4
212,Datsun B-210,70.00,17.0,1990.,4
213,Toyota Corolla,75.00,16.4,2155.,4
214,Ford Pinto,72.00,13.6,2565.,4
215,Volvo 245,102.0,15.7,3150.,4
216,Plymouth Volare Premier v8,150.0,13.2,3940.,8
217,Peugeot 504,88.00,21.9,3270.,4
218,Toyota Mark II,108.0,15.5,2930.,6
219,Mercedes-Benz 280s,120.0,16.7,3820.,6
220,Cadillac Seville,180.0,12.1,4380.,8
221,Chevrolet C10,145.0,12.0,4055.,8
222,Ford F108,130.0,15.0,3870.,8
223,Dodge D100,150.0,14.0,3755.,8
224,Honda Accord CVCC,68.00,18.5,2045.,4
225,Buick Opel Isuzu Deluxe,80.00,14.8,2155.,4
226,Renault 5 GTL,58.00,18.6,1825.,4
227,Plymouth Arrow GS,96.00,15.5,2300.,4
228,Datsun F-10 Hatchback,70.00,16.8,1945.,4
229,Chevrolet Caprice Classic,145.0,12.5,3880.,8
230,Oldsmobile Cutlass Supreme,110.0,19.0,4060.,8
231,Dodge Monaco Brougham,145.0,13.7,4140.,8
232,Mercury Cougar Brougham,130.0,14.9,4295.,8
233,Chevrolet Concours,110.0,16.4,3520.,6
234,Buick Skylark,105.0,16.9,3425.,6
235,Plymouth Volare Custom,100.0,17.7,3630.,6
236,Ford Grenada,98.00,19.0,3525.,6
237,Pontiac Grand Prix LJ,180.0,11.1,4220.,8
238,Chevrolet Monte Carlo Landau,170.0,11.4,4165.,8
239,Chrysler Cordoba,190.0,12.2,4325.,8
240,Ford Thunderbird,149.0,14.5,4335.,8
241,Volkswagen Rabbit Custom,78.00,14.5,1940.,4
242,Pontiac Sunbird Coupe,88.00,16.0,2740.,4
243,Toyota Corolla Liftback,75.00,18.2,2265.,4
244,Ford Mustang II 2+2,89.00,15.8,2755.,4
245,Chevrolet Chevette,63.00,17.0,2051.,4
246,Dodge Colt m/m,83.00,15.9,2075.,4
247,Subaru DL,67.00,16.4,1985.,4
248,Volkswagen Dasher,78.00,14.1,2190.,4
249,Datsun 810,97.00,14.5,2815.,6
250,BMW 320i,110.0,12.8,2600.,4
251,Mazda RX-4,110.0,13.5,2720.,3
252,Volkswagen Rabbit Custom Diesel,48.00,21.5,1985.,4
253,Ford Fiesta,66.00,14.4,1800.,4
254,Mazda GLC Deluxe,52.00,19.4,1985.,4
255,Datsun B210 GX,70.00,18.6,2070.,4
256,Honda Civic CVCC,60.00,16.4,1800.,4
257,Oldsmobile Cutlass Salon Brougham,110.0,15.5,3365.,8
258,Dodge Diplomat,140.0,13.2,3735.,8
259,Mercury Monarch ghia,139.0,12.8,3570.,8
260,Pontiac Phoenix LJ,105.0,19.2,3535.,6
261,Chevrolet Malibu,95.00,18.2,3155.,6
262,Ford Fairmont (auto),85.00,15.8,2965.,6
263,Ford Fairmont (man),88.00,15.4,2720.,4
264,Plymouth Volare,100.0,17.2,3430.,6
265,AMC Concord,90.00,17.2,3210.,6
266,Buick Century Special,105.0,15.8,3380.,6
267,Mercury Zephyr,85.00,16.7,3070.,6
268,Dodge Aspen,110.0,18.7,3620.,6
269,AMC Concord d/l,120.0,15.1,3410.,6
270,Chevrolet Monte Carlo Landau,145.0,13.2,3425.,8
271,Buick Regal Sport Coupe (turbo),165.0,13.4,3445.,6
272,Ford Futura,139.0,11.2,3205.,8
273,Dodge Magnum XE,140.0,13.7,4080.,8
274,Chevrolet Chevette,68.00,16.5,2155.,4
275,Toyota Corolla,95.00,14.2,2560.,4
276,Datsun 510,97.00,14.7,2300.,4
277,Dodge Omni,75.00,14.5,2230.,4
278,Toyota Celica GT Liftback,95.00,14.8,2515.,4
279,Plymouth Sapporo,105.0,16.7,2745.,4
280,Oldsmobile Starfire SX,85.00,17.6,2855.,4
281,Datsun 200-SX,97.00,14.9,2405.,4
282,Audi 5000,103.0,15.9,2830.,5
283,Volvo 264gl,125.0,13.6,3140.,6
284,Saab 99gle,115.0,15.7,2795.,4
285,Peugeot 604sl,133.0,15.8,3410.,6
286,Volkswagen Scirocco,71.00,14.9,1990.,4
287,Honda Accord LX,68.00,16.6,2135.,4
288,Pontiac Lemans V6,115.0,15.4,3245.,6
289,Mercury Zephyr 6,85.00,18.2,2990.,6
290,Ford Fairmont 4,88.00,17.3,2890.,4
291,AMC Concord DL 6,90.00,18.2,3265.,6
292,Dodge Aspen 6,110.0,16.6,3360.,6
293,Chevrolet Caprice Classic,130.0,15.4,3840.,8
294,Ford LTD Landau,129.0,13.4,3725.,8
295,Mercury Grand Marquis,138.0,13.2,3955.,8
296,Dodge St. Regis,135.0,15.2,3830.,8
297,Buick Estate Wagon (sw),155.0,14.9,4360.,8
298,Ford Country Squire (sw),142.0,14.3,4054.,8
299,Chevrolet Malibu Classic (sw),125.0,15.0,3605.,8
300,Chrysler Lebaron Town @ Country (sw),150.0,13.0,3940.,8
301,Volkswagen Rabbit Custom,71.00,14.0,1925.,4
302,Mazda GLC Deluxe,65.00,15.2,1975.,4
303,Dodge Colt Hatchback Custom,80.00,14.4,1915.,4
304,AMC Spirit DL,80.00,15.0,2670.,4
305,Mercedes Benz 300d,77.00,20.1,3530.,5
306,Cadillac Eldorado,125.0,17.4,3900.,8
307,Peugeot 504,71.00,24.8,3190.,4
308,Oldsmobile Cutlass Salon Brougham,90.00,22.2,3420.,8
309,Plymouth Horizon,70.00,13.2,2200.,4
310,Plymouth Horizon TC3,70.00,14.9,2150.,4
311,Datsun 210,65.00,19.2,2020.,4
312,Fiat Strada Custom,69.00,14.7,2130.,4
313,Buick Skylark Limited,90.00,16.0,2670.,4
314,Chevrolet Citation,115.0,11.3,2595.,6
315,Oldsmobile Omega Brougham,115.0,12.9,2700.,6
316,Pontiac Phoenix,90.00,13.2,2556.,4
317,Volkswagen Rabbit,76.00,14.7,2144.,4
318,Toyota Corolla Tercel,60.00,18.8,1968.,4
319,Chevrolet Chevette,70.00,15.5,2120.,4
320,Datsun 310,65.00,16.4,2019.,4
321,Chevrolet Citation,90.00,16.5,2678.,4
322,Ford Fairmont,88.00,18.1,2870.,4
323,AMC Concord,90.00,20.1,3003.,4
324,Dodge Aspen,90.00,18.7,3381.,6
325,Audi 4000,78.00,15.8,2188.,4
326,Toyota Corolla Liftback,90.00,15.5,2711.,4
327,Mazda 626,75.00,17.5,2542.,4
328,Datsun 510 Hatchback,92.00,15.0,2434.,4
329,Toyota Corolla,75.00,15.2,2265.,4
330,Mazda GLC,65.00,17.9,2110.,4
331,Dodge Colt,105.0,14.4,2800.,4
332,Datsun 210,65.00,19.2,2110.,4
333,Volkswagen Rabbit C (Diesel),48.00,21.7,2085.,4
334,Volkswagen Dasher (diesel),48.00,23.7,2335.,4
335,Audi 5000s (diesel),67.00,19.9,2950.,5
336,Mercedes-Benz 240d,67.00,21.8,3250.,4
337,Honda Civic 1500 gl,67.00,13.8,1850.,4
338,Renault Lecar Deluxe,0,17.3,1835.,4
339,Subaru DL,67.00,18.0,2145.,4
340,Volkswagen Rabbit,62.00,15.3,1845.,4
341,Datsun 280-ZX,132.0,11.4,2910.,6
342,Mazda RX-7 GS,100.0,12.5,2420.,3
343,Triumph TR7 Coupe,88.00,15.1,2500.,4
344,Ford Mustang Cobra,0,14.3,2905.,4
345,Honda Accord,72.00,17.0,2290.,4
346,Plymouth Reliant,84.00,15.7,2490.,4
347,Buick Skylark,84.00,16.4,2635.,4
348,Dodge Aries Wagon (sw),92.00,14.4,2620.,4
349,Chevrolet Citation,110.0,12.6,2725.,6
350,Plymouth Reliant,84.00,12.9,2385.,4
351,Toyota Starlet,58.00,16.9,1755.,4
352,Plymouth Champ,64.00,16.4,1875.,4
353,Honda Civic 1300,60.00,16.1,1760.,4
354,Subaru,67.00,17.8,2065.,4
355,Datsun 210 MPG,65.00,19.4,1975.,4
356,Toyota Tercel,62.00,17.3,2050.,4
357,Mazda GLC 4,68.00,16.0,1985.,4
358,Plymouth Horizon 4,63.00,14.9,2215.,4
359,Ford Escort 4W,65.00,16.2,2045.,4
360,Ford Escort 2H,65.00,20.7,2380.,4
361,Volkswagen Jetta,74.00,14.2,2190.,4
362,Renault 18i,0,15.8,2320.,4
363,Honda Prelude,75.00,14.4,2210.,4
364,Toyota Corolla,75.00,16.8,2350.,4
365,Datsun 200SX,100.0,14.8,2615.,4
366,Mazda 626,74.00,18.3,2635.,4
367,Peugeot 505s Turbo Diesel,80.00,20.4,3230.,4
368,Saab 900s,110.0,15.4,2800.,4
369,Volvo Diesel,76.00,19.6,3160.,6
370,Toyota Cressida,116.0,12.6,2900.,6
371,Datsun 810 Maxima,120.0,13.8,2930.,6
372,Buick Century,110.0,15.8,3415.,6
373,Oldsmobile Cutlass LS,105.0,19.0,3725.,8
374,Ford Grenada gl,88.00,17.1,3060.,6
375,Chrysler Lebaron Salon,85.00,16.6,3465.,6
376,Chevrolet Cavalier,88.00,19.6,2605.,4
377,Chevrolet Cavalier Wagon,88.00,18.6,2640.,4
378,Chevrolet Cavalier 2-door,88.00,18.0,2395.,4
379,Pontiac J2000 SE Hatchback,85.00,16.2,2575.,4
380,Dodge Aries SE,84.00,16.0,2525.,4
381,Pontiac Phoenix,90.00,18.0,2735.,4
382,Ford Fairmont Futura,92.00,16.4,2865.,4
383,AMC Concord DL,0,20.5,3035.,4
384,Volkswagen Rabbit l,74.00,15.3,1980.,4
385,Mazda GLC Custom l,68.00,18.2,2025.,4
386,Mazda GLC Custom,68.00,17.6,1970.,4
387,Plymouth Horizon Miser,63.00,14.7,2125.,4
388,Mercury Lynx l,70.00,17.3,2125.,4
389,Nissan Stanza XE,88.00,14.5,2160.,4
390,Honda Accord,75.00,14.5,2205.,4
391,Toyota Corolla,70.00,16.9,2245,4
392,Honda Civic,67.00,15.0,1965.,4
393,Honda Civic (auto),67.00,15.7,1965.,4
394,Datsun 310 GX,67.00,16.2,1995.,4
395,Buick Century Limited,110.0,16.4,2945.,6
396,Oldsmobile Cutlass Ciera (diesel),85.00,17.0,3015.,6
397,Chrysler Lebaron Medallion,92.00,14.5,2585.,4
398,Ford Grenada l,112.0,14.7,2835,6
399,Toyota Celica GT,96.00,13.9,2665.,4
400,Dodge Charger 2.2,84.00,13.0,2370.,4
401,Chevrolet Camaro,90.00,17.3,2950.,4
402,Ford Mustang GL,86.00,15.6,2790.,4
403,Volkswagen Pickup,52.00,24.6,2130.,4
404,Dodge Rampage,84.00,11.6,2295.,4
405,Ford Ranger,79.00,18.6,2625.,4
406,Chevy S-10,82.00,19.4,2720.,4
